"","UWI","Source","Survey.ID","Depth.Measured","Depth.True.Vertical","Drift.Angle","Drift.Direction","North.South.Coordinate.Distance","North.South.Coordinate.Direction","East.West.Coordinate.Distance","East.West.Coordinate.Direction","Type","Point.Type.Name","PRODFit.Formation.Code","PRODFit.Formation.Name","Surface_longitude","Surface_Latitude","Well.Name","Lease","ns_meter","ew_meter","LatitudeVector","LongitudeVector","UWI_10","MaxDepth","year","RowOrder","Nearest Distance","Formation"
"1","42317408490000","PI","1",7480,-7473.31982421875,0.579999983310699,221.949996948242,214.690002441406,"S",43.5200004577637,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-65.4375127441406,-13.2648961395264,32.3544988318215,-101.954105782568,4231740849,-8900.349609375,NA,1,188.160370030866,"WFMPA"
"2","42317408490000","PI","1",7557,-7550.31982421875,0.449999988079071,217.779998779297,215.220001220703,"S",43.9700012207031,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-65.5990563720703,-13.4020563720703,32.3544973806504,-101.954107241147,4231740849,-8900.349609375,NA,2,188.160370030866,"WFMPA"
"3","42317408490000","PI","1",7652,-7645.31982421875,0.140000000596046,211.800003051758,215.610000610352,"S",44.2599983215332,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-65.7179281860352,-13.4904474884033,32.3544963128067,-101.954108181109,4231740849,-8900.349609375,NA,3,188.160370030866,"WFMPA"
"4","42317408490000","PI","1",7747,-7740.31005859375,0.379999995231628,189.369995117188,216.020004272461,"S",44.3699989318848,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-65.8428973022461,-13.5239756744385,32.35449519019,-101.954108537652,4231740849,-8900.349609375,NA,4,188.160370030866,"WFMPA"
"5","42317408490000","PI","1",7842,-7835.31005859375,0.479999989271164,153.649993896484,216.690002441406,"S",44.2400016784668,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-66.0471127441406,-13.4843525115967,32.3544933556915,-101.954108116295,4231740849,-8900.349609375,NA,5,188.160370030866,"WFMPA"
"6","42317408490000","PI","1",7937,-7930.31005859375,0.540000021457672,127.48999786377,217.320007324219,"S",43.7099990844727,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-66.2391382324219,-13.3228077209473,32.3544916306972,-101.954106398407,4231740849,-8900.349609375,NA,6,188.160370030866,"WFMPA"
"7","42317408490000","PI","1",8032,-8025.2998046875,0.709999978542328,132.559997558594,217.990005493164,"S",42.9199981689453,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-66.4433536743164,-13.0820154418945,32.3544897961987,-101.954103837792,4231740849,-8900.349609375,NA,7,188.160370030866,"WFMPA"
"8","42317408490000","PI","1",8128,-8121.2998046875,0.319999992847443,114.73999786377,218.5,"S",42.2400016784668,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-66.5988,-12.8747525115967,32.3544883998006,-101.954101633732,4231740849,-8900.349609375,NA,8,188.160370030866,"WFMPA"
"9","42317408490000","PI","1",8222,-8215.2998046875,0.519999980926514,116.73999786377,218.809997558594,"S",41.6199989318848,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-66.6932872558594,-12.6857756744385,32.3544875510071,-101.954099624128,4231740849,-8900.349609375,NA,9,188.160370030866,"WFMPA"
"10","42317408490000","PI","1",8317,-8310.2900390625,0.28999999165535,85.4899978637695,218.979995727539,"S",41,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-66.7451026977539,-12.4968,32.3544870855411,-101.954097614537,4231740849,-8900.349609375,NA,10,188.160370030866,"WFMPA"
"11","42317408490000","PI","1",8381,-8374.240234375,3.90000009536743,9.28999996185303,216.820007324219,"S",40.4799995422363,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-66.0867382324219,-12.3383038604736,32.3544929997297,-101.95409592907,4231740849,-8900.349609375,NA,11,188.160370030866,"WFMPA"
"12","42317408490000","PI","1",8413,-8406.099609375,6.80999994277954,8.31999969482422,213.869995117188,"S",40.0299987792969,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-65.1875745117188,-12.2011436279297,32.3545010770548,-101.954094470491,4231740849,-8900.349609375,NA,12,188.160370030866,"WFMPA"
"13","42317408490000","PI","1",8444,-8436.75,10.25,10.4799995422363,209.330001831055,"S",39.2700004577637,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-63.8037845581055,-11.9694961395264,32.3545135078515,-101.954092007122,4231740849,-8900.349609375,NA,13,188.160370030866,"WFMPA"
"14","42317408490000","PI","1",8476,-8468.080078125,13.2600002288818,8.88000011444092,202.910003662109,"S",38.1800003051758,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-61.8469691162109,-11.6372640930176,32.3545310862237,-101.954088474125,4231740849,-8900.349609375,NA,14,188.160370030866,"WFMPA"
"15","42317408490000","PI","1",8508,-8499.0595703125,15.6899995803833,3.69000005722046,194.960006713867,"S",37.3400001525879,"W",NA,NA,NA,NA,-101.953964722,32.355086667,"ACT A 08SC","ACT",-59.4238100463867,-11.3812320465088,32.3545528538319,-101.954085751448,4231740849,-8900.349609375,NA,15,188.160370030866,"WFMPA"
