operator_alias,Alias
SUTHERLAND ENERGY,SUTHERLAND ENERGY
TAMARACK PETROLEUM COMPANY,TAMARACK
TCS PETROLEUM,TCS PETROLEUM
TEAKWOOD OPERATING,TEAKWOOD OPERATING
TEXLAND PETROLEUM,TEXLAND
THREE RIVERS OPER CO III,THREE RIVERS III
TRACKER RESOURCE DEV III,TRACKER
TRILOGY OPERATING,TRILOGY
VETERAN EXPL & PROD,VETERAN EXPL & PROD
V-F PETROLEUM,V-F PET
VX OPERATING,VX OPERATING
WAGGONER ESTATE,WAGGONER ESTATE
WFW PRODUCTION COMPANY,WFW PRODUCTION COMPANY
WILLIAMS OIL,WILLIAMS OIL
WINCHESTER ENERGY,WINCHESTER ENERGY
WISHBONE O&G,WISHBONE O&G
XTO ENERGY,XTO
YUCCA PETROLEUM,YUCCA PETROLEUM
ZARVONA ENERGY,ZARVONA ENERGY
ROSEHILL OPERATING,ROSEHILL
MARATHON OIL PERMIAN,MRO
QEP ENERGY COMPANY,QEP
SABLE PERMIAN RESOURCES LAND,SABLE PERMIAN
APPROACH OPERATING,AREX
BTA OIL,BTA
CUSTER&WRIGHT OPERATING,CUSTER&WRIGHT
ELK RIVER RESOURCES,ELK RIVER
ENERVEST,ENERVEST
ABRAXAS PETROLEUM,AXAS
"HEADINGTON ENERGY PARTNERS, LLC",HEADINGTON
SABALO OPERATING,SABALO
TRACKER RESOURCE DEV III,TRACKER
CARRIZO (PERMIAN),CRZO
ONEENERGY PARTNERS OPERATING,ONEENERGY
"HEADINGTON ENERGY PARTNERS, LLC",HEADINGTON
ASCENT ENERGY,ASCENT
"CHISHOLM ENERGY OPERATING, LLC",CHISHOLM
COG PETROLEUM,CXO
ROSETTA RESOURCES,NBL
