SHELL OIL
FELIX ENERGY HOLDINGS II
RSP PERMIAN
RSP PERMIAN
SHELL OIL
XTO ENERGY
RSP PERMIAN
GUIDON ENERGY MGMT SERVICES
GUIDON ENERGY MGMT SERVICES
GUIDON ENERGY MGMT SERVICES
GUIDON ENERGY MGMT SERVICES
XTO ENERGY
XTO ENERGY
PIONEER
HENRY PETROLEUM
SUMMIT
PARSLEY ENERGY OPERATIONS
PARSLEY ENERGY OPERATIONS
PERMIAN DEEP ROCK OIL CO
PERMIAN DEEP ROCK OIL CO
ENVIRONMENTAL DISPOSAL SYSTEMS
ENDEAVOR ENERGY RESOURCES
ENVIRONMENTAL DISPOSAL SYSTEMS
SAGUARO PETR
TEAKWOOD OPERATING
JAGGED PEAK ENERGY
BOYD&MCWILLIAMS ENERGY GROUP
JAGGED PEAK ENERGY
ENVIRONMENTAL DISPOSAL SYSTEMS
ENDEAVOR ENERGY RESOURCES
ENDEAVOR ENERGY RESOURCES
ATLANTIC EXPLORATION
CENTENNIAL RESOURCE PROD
ANADARKO
INDEPENDENCE RESOURCES MGMT
INDEPENDENCE RESOURCES MGMT
INDEPENDENCE RESOURCES MGMT
INDEPENDENCE RESOURCES MGMT
INDEPENDENCE RESOURCES MGMT
JAGGED PEAK ENERGY
JAGGED PEAK ENERGY
HALCON RESOURCES
HALCON RESOURCES
STEWARD ENERGY II
PALADIN OPERATING
TEXLAND PETROLEUM
XTO ENERGY
ENDEAVOR ENERGY RESOURCES
OXY USA
JAGGED PEAK ENERGY
DISCOVERY NATURAL RESOURCES
DISCOVERY NATURAL RESOURCES
DISCOVERY NATURAL RESOURCES
CENTENNIAL RESOURCE PROD
CONCHO O&G
BHP BILLITON
BHP BILLITON
BHP BILLITON
HENRY PETROLEUM
HENRY PETROLEUM
ANADARKO
ANADARKO
ANADARKO
HALCON RESOURCES
HALCON RESOURCES
HALCON RESOURCES
HALCON RESOURCES
ZARVONA ENERGY
FORGE' ENERGY
BULLET DEVELOPMENT
RELIANCE ENERGY
ATMOS PIPELINE - TEXAS
OXY USA
MCCLURE OIL COMPANY
OXY USA
SURGE OPERATING
SURGE OPERATING
TRACKER RESOURCE DEV III
DEVON
RKI EXPLORATION&PRODUCTION
RKI EXPLORATION&PRODUCTION
APACHE
APACHE
PETROLEGACY ENERGY II
PETROLEGACY ENERGY II
HENRY PETROLEUM
DIAMONDBACK E&P
DIAMONDBACK E&P
DIAMONDBACK E&P
PATRIOT PETROLEUM
PATRIOT PETROLEUM
LAREDO PETROLEUM
LAREDO PETROLEUM
LAREDO PETROLEUM
LAREDO PETROLEUM
PARSLEY ENERGY OPERATIONS
FINLEY RESOURCES
PARSLEY ENERGY OPERATIONS
BHP BILLITON
BHP BILLITON
BHP BILLITON
BHP BILLITON
RESOLUTE NATURAL RES
OXY USA
OXY USA
ENERGEN
INDEPENDENCE RESOURCES MGMT
ENCANA
ENCANA
ENCANA
ENCANA
ENCANA
ENCANA
NORTHSTAR OPERATING COMPANY OF TEXAS
STEWARD ENERGY II
STEWARD ENERGY II
SURGE OPERATING
EP ENERGY
EP ENERGY
EP ENERGY
EP ENERGY
EP ENERGY
CONCHO O&G
CONCHO O&G
CONCHO O&G
CONCHO O&G
CONCHO O&G
CONCHO O&G
CAPITAN ENERGY
CAPITAN ENERGY
SOJOURNER DRILLING
XTO ENERGY
DIAMONDBACK E&P
DIAMONDBACK E&P
DIAMONDBACK E&P
JLA RESOURCES COMPANY
ANADARKO
SM ENERGY
SM ENERGY
SM ENERGY
ENCANA
ENCANA
ENCANA
XTO ENERGY
PETROLEGACY ENERGY II
SUMMIT
SUMMIT
DIAMONDBACK E&P
RSP PERMIAN
RSP PERMIAN
DIAMONDBACK E&P
DIAMONDBACK E&P
DIAMONDBACK E&P
DIAMONDBACK E&P
RUGER PROPERTIES
MERCURY OPERATING
TCS PETROLEUM
OLSEN ENERGY
OLSEN ENERGY
DIAMONDBACK E&P
DIAMONDBACK E&P
SBJ OIL&GAS
LAREDO PETROLEUM
LAREDO PETROLEUM
DISCOVERY NATURAL RESOURCES
DISCOVERY NATURAL RESOURCES
DISCOVERY NATURAL RESOURCES
LAREDO PETROLEUM
LAREDO PETROLEUM
EP ENERGY
RBJ & ASSOC
CENTENNIAL RESOURCE PROD
CENTENNIAL RESOURCE PROD
OXY USA
PDC PERMIAN
ANADARKO
APACHE
BHP BILLITON
PDC PERMIAN
ATLANTIC EXPLORATION
PDC PERMIAN
OXY USA
OXY USA
OXY USA
OXY USA
EXL PETROLEUM
HALCON RESOURCES
NEWPORT OPERATING
ROG ENTERPRISES
YUCCA PETROLEUM
NA
PEDERNALES PRODUCTION
XTO ENERGY
